Filename,Page,Section,Aircraft category,Aircraft make/model if known,Source,License,Attribution requirement,Visible registration,Approved status,Notes
/videos/amg-jet-flying.mp4,Home,Hero background,General business aviation,Not specified,Existing local AMG project asset,Existing local rights assumed,None documented,No,Approved,Autoplay muted video with poster fallback; not reused elsewhere.
/images/hero-jet-poster.jpg,Home,Hero poster,General business aviation,Not specified,Derived from existing local project asset,Existing local rights assumed,None documented,No,Approved,Compressed poster for home hero video only.
/images/site/cirrus.webp,Home,Operational philosophy teaser,Single-engine piston,Cirrus-style piston aircraft,Existing local project asset,Existing local rights assumed,None documented,Not documented,Approved,Used once as general owner-operated support imagery; no longer used for jet category.
/images/operations.png,About,Page hero,Operations support,Not specified,Existing local project asset,Existing local rights assumed,None documented,No,Approved,General operational-support visual.
/images/site/map-operations.jpg,About,Operational visibility,Operational route planning,Not specified,Existing local project asset,Existing local rights assumed,None documented,No,Approved,Used once for route/operations context.
/images/site/tbm.jpg,Services,Page hero,Turboprop,TBM-style turboprop,Existing local project asset,Existing local rights assumed,None documented,Not documented,Approved,Large file retained for now; candidate for future compression.
/images/site/diamond-me.jpg,Services,Mission types,Multi-engine piston,Diamond twin-style aircraft,Existing local project asset,Existing local rights assumed,None documented,Not documented,Approved,Used once for mission-specific support context.
/images/jet-sky.png,Aircraft,Page hero,General jet operations,Not specified,Existing local project asset,Existing local rights assumed,None documented,No,Approved,Aircraft category sections use non-photo treatments to avoid category mismatch.
/images/jet-interior.png,Plans,Page hero,Subscription program context,Not specified,Existing local project asset,Existing local rights assumed,None documented,No,Approved,Used once for subscription programs.
/images/mid-jet.png,Pilot Network,Page hero,Midsize jet context,Not specified,Existing local project asset,Existing local rights assumed,None documented,No,Approved,Used once for pilot network.
/images/site/bell-505.jpg,Pilot Network,Crew profile review,Helicopter custom review,Bell 505-style helicopter,Existing local project asset,Existing local rights assumed,None documented,Not documented,Approved,Used once to indicate network review can include custom rotorcraft review.
/images/heavy-jet.png,Team,Page hero,Large-cabin / heavy jet context,Not specified,Existing local project asset,Existing local rights assumed,None documented,No,Approved,Used once for team/operations page.
/images/light-jet.png,Contact,Page hero,Light jet context,Not specified,Existing local project asset,Existing local rights assumed,None documented,No,Approved,Used once for support intake.
/images/turboprop.png,Contact,Support request aside,Turboprop context,Not specified,Existing local project asset,Existing local rights assumed,None documented,No,Approved,Used once for support request context.
